colonna,range,min,max,n,winrate,profit_u,roi_pct,break_even_odd
odd_1,1.95-2.00,1.9500000000000006,2.000000000000001,99,0.7676767676767676,-1.7199999999999989,-1.7373737373737361,1.3026315789473686
odd_2,2.70-2.75,2.700000000000001,2.7500000000000013,60,0.7666666666666667,-1.1199999999999992,-1.8666666666666654,1.3043478260869565
odd_2,2.45-2.50,2.450000000000001,2.500000000000001,60,0.7666666666666667,-1.1199999999999992,-1.8666666666666654,1.3043478260869565
odd_2,2.20-2.25,2.200000000000001,2.250000000000001,51,0.7647058823529411,-1.0799999999999983,-2.1176470588235263,1.3076923076923077
odd_1,2.65-2.70,2.6500000000000012,2.700000000000001,51,0.7647058823529411,-1.0799999999999983,-2.1176470588235263,1.3076923076923077
odd_2,3.55-3.60,3.5500000000000025,3.6000000000000023,55,0.7636363636363637,-1.2399999999999984,-2.2545454545454517,1.3095238095238095
odd_x,3.30-3.35,3.299999999999997,3.349999999999997,200,0.76,-5.439999999999998,-2.719999999999999,1.3157894736842106
odd_x,3.35-3.40,3.349999999999997,3.399999999999997,150,0.76,-4.079999999999998,-2.719999999999999,1.3157894736842106
odd_1,2.00-2.05,2.000000000000001,2.0500000000000007,120,0.7583333333333333,-3.519999999999996,-2.93333333333333,1.3186813186813187
odd_1,2.50-2.55,2.500000000000001,2.550000000000001,62,0.7580645161290323,-1.839999999999998,-2.967741935483868,1.3191489361702127
spread_fav_dog,2.05-2.10,2.0500000000000007,2.100000000000001,33,0.7575757575757576,-0.9999999999999991,-3.0303030303030276,1.32
odd_x,3.45-3.50,3.4499999999999966,3.4999999999999964,177,0.7570621468926554,-5.479999999999997,-3.096045197740111,1.3208955223880596
odd_1,2.60-2.65,2.6000000000000014,2.6500000000000012,49,0.7551020408163265,-1.6399999999999988,-3.346938775510202,1.3243243243243243
odd_fav,1.55-1.60,1.5500000000000003,1.6000000000000003,98,0.7551020408163265,-3.2799999999999976,-3.346938775510202,1.3243243243243243
odd_1,1.65-1.70,1.6500000000000004,1.7000000000000004,69,0.7536231884057971,-2.4399999999999977,-3.536231884057968,1.3269230769230769
odd_1,2.75-2.80,2.7500000000000013,2.8000000000000016,48,0.75,-1.9199999999999982,-3.999999999999996,1.3333333333333333
odd_dog,3.95-4.00,3.9499999999999966,3.9999999999999964,36,0.75,-1.4399999999999995,-3.9999999999999987,1.3333333333333333
spread_fav_dog,1.80-1.85,1.8000000000000007,1.8500000000000008,36,0.75,-1.4399999999999995,-3.9999999999999987,1.3333333333333333
